DRG Code,DRG Description,ICD-10 Code,ICD-10 Description,Notes,Remarks,Is Active
INVE140,Breast tissue Biopsy,,,,,TRUE
INVE141,C Reactive Protein,,,,,TRUE
INVE142,EEG (Electroencephalogram),,,,,TRUE
INVE143,Holter,,,,,TRUE
INVE144,Angiography,,,,,TRUE
INVE145,Myocardial perfusion imaging,,,,,TRUE
INVE146,Guthrie test,,,,,TRUE
INVE149,Typhi Dot,,,,,TRUE
INVE14D,Bilirubin,,,,,TRUE
INVE14E,Serum Uric Acid,,,,,TRUE
INVE150,AEC,,,,,TRUE
INVE151,Blood Sugar PP,,,,,TRUE
INVE152,Biopsy L/A,,,,,TRUE
INVE154,ASO titre,,,,,TRUE
INVE155,Gonioscopy,,,,,TRUE
INVE156,Hematocrit,,,,,TRUE
INVE157,CT Scan - 2 Region with No Contrast,,,,,TRUE
INVE158,CT Scan - 2 Region + 1Contrast,,,,,TRUE
INVE159,CT Scan - 2 region + 2 contrast,,,,,TRUE
INVE15D,Bleeding and Clotting Time,,,,,TRUE
INVE15E,Sialogram,,,,,TRUE
INVE160,MRI 2 region with no contrast,,,,,TRUE
INVE161,MRI 2 region with + contrast,,,,,TRUE
INVE16D,Blood for C/S,,,,,TRUE
INVE16E,Sickling Test,,,,,TRUE
INVE17D,Blood Grouping,,,,,TRUE
INVE17E,Skin Scrapping For Fungal Elements,,,,,TRUE
INVE18D,Blood Grouping & Antibody Screen,,,,,TRUE
INVE18E,Skin Snip,,,,,TRUE
INVE19D,Blood Parasites,,,,,TRUE
INVE19E,Stool C/S,,,,,TRUE
INVE20D,Blood Urea,,,,,TRUE
INVE20E,Stool For Occult Blood,,,,,TRUE
INVE21D,Blood Urea & Electrolytes,,,,,TRUE
INVE21E,T3,,,,,TRUE
INVE22D,Bone Marrow - Trephine Biopsy,,,,,TRUE
INVE22E,T4,,,,,TRUE
INVE23D,Bone Marrow Aspirate,,,,,TRUE
INVE23E,Testosterone,,,,,TRUE
INVE24D,Bue & Creatinine,,,,,TRUE
INVE24E,Thyroid Function Test (TSH),,,,,TRUE
INVE25D,Carcino Embryonic Antigen (CEA),,,,,TRUE
INVE25E,Thyroid Profile,,,,,TRUE
INVE26D,Cerebrospinal Fluid for C/S,,,,,TRUE
INVE26E,Total Iron Binding Capacity (TIBC),,,,,TRUE
INVE27D,Clusters of Differentiation Cells (CD4),,,,,TRUE
INVE27E,Total Serum Cholesterol,,,,,TRUE
INVE28D,Coombs Test (Direct),,,,,TRUE
INVE28E,Trophozoite Count,,,,,TRUE
INVE29D,Creatine Kinase - Mb (CK - Mb),,,,,TRUE
INVE29E,Troponin,,,,,TRUE
INVE30D,Creatine Kinase (CK),,,,,TRUE
INVE30E,Ultrasound,,,,,TRUE
INVE31D,CSF Latex Agglutination,,,,,TRUE
INVE31E,Ultrasound - 2 Regions,,,,,TRUE
INVE32D,CT Scan - 1 Region + 2 Contrast,,,,,TRUE
INVE32E,Ultrasound Guided Incision & Drainage,,,,,TRUE
INVE33D,CT Scan - 1 Region + 1IV Contrast,,,,,TRUE
INVE33E,Urethrogram,,,,,TRUE
INVE34D,CT Scan - 1 Region + No Contrast,,,,,TRUE
INVE34E,Urine C/S,,,,,TRUE
INVE35D,Cystogram,,,,,TRUE
INVE35E,Urine For Bence Jones Protein,,,,,TRUE
INVE36D,Cytology,,,,,TRUE
INVE36E,Veneral Disease Research Laboratory (VDRL),,,,,TRUE
INVE37D,Digoxin Level,,,,,TRUE
INVE37E,Venogram - 1 Region,,,,,TRUE
INVE38D,Dihydroxy Epiandesterone Sulphate (Dhea-S),,,,,TRUE
INVE38E,Widal Test,,,,,TRUE
INVE39D,Doppler Scan,,,,,TRUE
INVE40D,Ductologram/Galactographyy,,,,,TRUE
INVE41D,ECG,,,,,TRUE
INVE42D,Erythrocyte Sedimentation Rate (ESR),,,,,TRUE
INVE43D,Estrogen,,,,,TRUE
INVE44D,Factor IX,,,,,TRUE
INVE45D,Factor VIII,,,,,TRUE
INVE46D,Fasting Blood Sugar/Random Blood Sugar,,,,,TRUE
INVE47D,Fistulogram,,,,,TRUE
INVE48D,Follicle Stimulating Hormone (FSH),,,,,TRUE
INVE49D,FT3,,,,,TRUE
INVE50D,FT4,,,,,TRUE
INVE51D,Full Blood Count FBC (Auto) & Film Comment,,,,,TRUE
INVE52D,Full Blood Count FBC (Automation),,,,,TRUE
INVE53D,Full Blood Count With Film Comment (Manual),,,,,TRUE
INVE54D,Fungal Cultures,,,,,TRUE
INVE55D,Gamma Glutamyl Transferase (GGT),,,,,TRUE
INVE56D,Glucose-6-Phosphate Dehydrogenase (G6PD),,,,,TRUE
INVE57D,Glycosylated Haemoglobin (HBA 1C),,,,,TRUE
INVE58D,Haemoglobin A2 & F Estimation,,,,,TRUE
INVE59D,Haemoglobin Electrophoresis,,,,,TRUE
INVE60D,Haemoglobin Estimation (HB),,,,,TRUE
INVE61D,HDL - Cholesterol,,,,,TRUE
INVE62D,Helicobacter Pylori Test,,,,,TRUE
INVE63D,Hepatitis B Surface Antigen ( HBSAG) HBV,,,,,TRUE
INVE64D,Hepatitis B Virus Profile (HBV Profile),,,,,TRUE
INVE65D,High Vaginal Swab For C/S,,,,,TRUE
INVE66D,High Vaginal Swab Routine Examination,,,,,TRUE
INVE67D,Histopathology,,,,,TRUE
INVE68D,Human Immunodeficiency Virus (HIV) Confirmation,,,,,TRUE
INVE69D,Human Immunodeficiency Virus (HIV) Screening,,,,,TRUE
INVE70D,Hysterosalpingogram,,,,,TRUE
INVE71D,Immunostaining,,,,,TRUE
INVE72D,Intravenous Urography,,,,,TRUE
INVE73D,LDL - Cholesterol,,,,,TRUE
INVE74D,LFT,,,,,TRUE
INVE75D,Lipid Profile,,,,,TRUE
INVE76D,Lupus Erythematosus Cell (Le Cell),,,,,TRUE
INVE77D,Luteinizing Hormone (LH),,,,,TRUE
INVE78D,Mammogram,,,,,TRUE
INVE79D,"Miscelllaneous Cultures (Fluids, Aspirates & Exudates)",,,,,TRUE
INVE80D,MRI - 1 Region + Contrast,,,,,TRUE
INVE81D,MRI - 1 Region + No Contrast,,,,,TRUE
INVE82D,Myelogram - 1 Region,,,,,TRUE
INVE83D,Oral Glucose Tolerance Test (OGTT),,,,,TRUE
INVE84D,Orthopanthomograph (OPT),,,,,TRUE
INVE85D,Pancreatic Amylase,,,,,TRUE
INVE86D,Pap Smear/Fine Needle Aspiration,,,,,TRUE
INVE87D,Percutaneous Biopsy - CT Scan Guide,,,,,TRUE
INVE88D,Percutaneous Biopsy - Flouroscopic Guide,,,,,TRUE
INVE89D,X-ray one region,,,,,TRUE
INVE90D,X-ray two region,,,,,TRUE
INVE91D,Plasma Cortisol,,,,,TRUE
INVE92D,Pregnancy Test,,,,,TRUE
INVE93D,Progesterone (Prog),,,,,TRUE
INVE94D,Prostate Specific Antigen (PSA),,,,,TRUE
INVE95D,Prothrombin Time,,,,,TRUE
INVE96D,Reticulocyte Count (Retics),,,,,TRUE
INVE97D,Rheumatoid Factor,,,,,TRUE
INVE98D,Routine Stool Examination,,,,,TRUE
INVE99D,Routine Urine Examination,,,,,TRUE
MEDI01A,Thyroid Diseases >=12 Yrs,E00.9,"Congenital iodine-deficiency syndrome, unspecified",,,TRUE
MEDI01A,Thyroid Diseases >=12 Yrs,E01.8,Other iodine-deficiency-related thyroid disorders and allied conditions,,,TRUE
MEDI01A,Thyroid Diseases >=12 Yrs,E03.9,"Hypothyroidism, unspecified",,,TRUE
MEDI01A,Thyroid Diseases >=12 Yrs,E04.9,"Nontoxic goitre, unspecified",,,TRUE
MEDI02A,Diabetes - Simple >=12 Yrs,,,,,TRUE
MEDI03A,Diabetes - Complicated >=12 Yrs,E12.5,Malnutrition-related diabetes mellitus: With peripheral circulatory complications,,,TRUE
MEDI03A,Diabetes - Complicated >=12 Yrs,E14.1,Unspecified diabetes mellitus: With ketoacidosis,,,TRUE
MEDI03A,Diabetes - Complicated >=12 Yrs,E14.5,Unspecified diabetes mellitus: With peripheral circulatory complications,,,TRUE
MEDI03A,Diabetes - Complicated >=12 Yrs,E14.8,Unspecified diabetes mellitus: With unspecified complications,,,TRUE
MEDI04A,Other Endocrine Diseases >=12 Yrs,E21.3,"Hyperparathyroidism, unspecified",,,TRUE
MEDI04A,Other Endocrine Diseases >=12 Yrs,E23.2,Diabetes insipidus,,,TRUE
MEDI04A,Other Endocrine Diseases >=12 Yrs,E25.0,Congenital adrenogenital disorders associated with enzyme deficiency,,,TRUE
MEDI05A,Malnutrition >=12 Yrs,E43.00,Unspecified severe protein-energy malnutrition,,,TRUE
MEDI05A,Malnutrition >=12 Yrs,E55.9,"Vitamin D deficiency, unspecified",,,TRUE
MEDI06A,Anaemia >=12 Yrs,D50.9,"Iron deficiency anaemia, unspecified",,,TRUE
MEDI06A,Anaemia >=12 Yrs,D51.9,"Vitamin B12 deficiency anaemia, unspecified",,,TRUE
MEDI06A,Anaemia >=12 Yrs,D58.9,"Hereditary haemolytic anaemia, unspecified",,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I00.00,Rheumatic fever without mention of heart involvement,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I25.2,Old myocardial infarction,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I31.3,Pericardial effusion (noninflammatory),,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I31.9,"Disease of pericardium, unspecified",,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I32.00,Pericarditis In Diseases Classified Elsewhere,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I38.00,"Endocarditis, valve unspecified",,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I48.00,Atrial fibrillation and flutter,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I50.0,Congestive heart failure,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I50.1,Left ventricular failure,,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I50.9,"Heart failure, unspecified",,,TRUE
MEDI07A,Heart Disease >=12 Yrs,I51.4,"Myocarditis, unspecified",,,TRUE
MEDI07A,Heart Disease >=12 Yrs,Q24.9,"Congenital malformation of heart, unspecified",,,TRUE
MEDI08A,Poisoning >=12 Yrs,J68.0,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,A17.0,Tuberculous meningitis,,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,E14.0,Unspecified diabetes mellitus: With coma,,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,E15.00,Nondiabetic hypoglycaemic coma,,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,G03.9,"Meningitis, unspecified",,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,I64.00,"Stroke, not specified as haemorrhage or infarction",,,TRUE
MEDI10A,Non-Traumatic Coma >=12 Yrs,N19.00,Unspecified kidney failure,,,TRUE
MEDI11A,Paralytic Conditions >=12 Yrs,A80.9,"Acute poliomyelitis, unspecified",,,TRUE
MEDI11A,Paralytic Conditions >=12 Yrs,G35.00,Multiple sclerosis,,,TRUE
MEDI11A,Paralytic Conditions >=12 Yrs,G37.3,Acute transverse myelitis in demyelinating disease of central nervous system,,,TRUE
MEDI11A,Paralytic Conditions >=12 Yrs,G61.0,Guillain-BarrE9 syndrome,,,TRUE
MEDI11A,Paralytic Conditions >=12 Yrs,S14.3,Injury of brachial plexus,,,TRUE
MEDI12A,Seizure Disorders >=12 Yrs,F44.5,Dissociative convulsions,,,TRUE
MEDI12A,Seizure Disorders >=12 Yrs,G41.9,"Status epilepticus, unspecified",,,TRUE
MEDI12A,Seizure Disorders >=12 Yrs,R56.8,Other and unspecified convulsions,,,TRUE
MEDI13A,Transient Loss of Consciousness >=12 Yrs,G45.9,"Transient cerebral ischaemic attack, unspecified",,,TRUE
MEDI13A,Transient Loss of Consciousness >=12 Yrs,R55.00,Syncope and collapse,,,TRUE
MEDI14A,Cerebro Vascular Accident/Stroke >=12 Yrs,I64.00,"Stroke, not specified as haemorrhage or infarction",,,TRUE
MEDI14A,Cerebro Vascular Accident/Stroke >=12 Yrs,I67.9,"Cerebrovascular disease, unspecified",,,TRUE
MEDI15A,Bone Marrow Hypoplasia >=12 Yrs,D61.9,"Aplastic anaemia, unspecified",,,TRUE
MEDI16A,Sickle Cell Disease with Complication/Crisis >=12 Yrs,,,,,TRUE
MEDI17A,Clotting/Bleeding Disorders >=12 Yrs,D65.00,Disseminated intravascular coagulation [defibrination syndrome],,,TRUE
MEDI17A,Clotting/Bleeding Disorders >=12 Yrs,D66.00,Hereditary factor VIII deficiency,,,TRUE
MEDI18A,Diseases of Skin/Subcutaneous Tissues >=12 Yrs,L30.9,"Dermatitis, unspecified",,,TRUE
MEDI18A,Diseases of Skin/Subcutaneous Tissues >=12 Yrs,L51.1,Bullous erythema multiforme,,,TRUE
MEDI18A,Diseases of Skin/Subcutaneous Tissues >=12 Yrs,T30.0,"Burn of unspecified body region, unspecified degree",,,TRUE
MEDI19A,Kidney Disease without Renal Failure >=12 Yrs,N10.00,Acute tubulo-interstitial nephritis,,,TRUE
MEDI19A,Kidney Disease without Renal Failure >=12 Yrs,N12.00,"Tubulo-interstitial nephritis, not specified as acute or chronic",,,TRUE
MEDI19A,Kidney Disease without Renal Failure >=12 Yrs,N39.1,"Persistent proteinuria, unspecified",,,TRUE
MEDI20A,Renal Failure without Dialysis >=12 Yrs,N18.9,"Chronic kidney disease, unspecified",,,TRUE
MEDI21A,Acute Renal Failure with Dialysis >=12 Yrs,,,,,TRUE
MEDI22A,Obstructive Airway Disease >=12 Yrs,J21.9,"Acute bronchiolitis, unspecified",,,TRUE
MEDI22A,Obstructive Airway Disease >=12 Yrs,J40.00,"Bronchitis, not specified as acute or chronic",,,TRUE
MEDI22A,Obstructive Airway Disease >=12 Yrs,J42.00,Unspecified chronic bronchitis,,,TRUE
MEDI22A,Obstructive Airway Disease >=12 Yrs,J44.9,"Chronic obstructive pulmonary disease, unspecified",,,TRUE
MEDI22A,Obstructive Airway Disease >=12 Yrs,J46.00,Status asthmaticus,,,TRUE
MEDI23A,Diarrhoea and Vomiting >=12 Yrs,A06.0,Acute amoebic dysentery,,,TRUE
MEDI23A,Diarrhoea and Vomiting >=12 Yrs,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,,,TRUE
MEDI24A,Liver Diseases >=12 Yrs,B17.9,"Acute viral hepatitis, unspecified",,,TRUE
MEDI25A,Gastro Intestinal Tract Bleeding >=12 Yrs,I86.4,Gastric varices,,,TRUE
MEDI25A,Gastro Intestinal Tract Bleeding >=12 Yrs,K63.9,"Disease of intestine, unspecified",,,TRUE
MEDI25A,Gastro Intestinal Tract Bleeding >=12 Yrs,K92.0,Haematemesis,,,TRUE
MEDI25A,Gastro Intestinal Tract Bleeding >=12 Yrs,K92.1,Melaena,,,TRUE
MEDI25A,Gastro Intestinal Tract Bleeding >=12 Yrs,K92.2,"Gastrointestinal haemorrhage, unspecified",,,TRUE
MEDI26A,Non-Specific Abdominal Conditions >=12 Yrs,B83.9,"Helminthiasis, unspecified",,,TRUE
MEDI26A,Non-Specific Abdominal Conditions >=12 Yrs,B89.00,Unspecified parasitic disease,,,TRUE
MEDI26A,Non-Specific Abdominal Conditions >=12 Yrs,K30.00,Dyspepsia,,,TRUE
MEDI26A,Non-Specific Abdominal Conditions >=12 Yrs,K86.1,Other chronic pancreatitis,,,TRUE
MEDI26A,Non-Specific Abdominal Conditions >=12 Yrs,R10.4,Other and unspecified abdominal pain,,,TRUE
MEDI27A,Shock >=12 Yrs,A41.9,"Sepsis, unspecified",,,TRUE
MEDI27A,Shock >=12 Yrs,R57.0,Cardiogenic shock,,,TRUE
MEDI27A,Shock >=12 Yrs,R57.1,Hypovolaemic shock,,,TRUE
MEDI27A,Shock >=12 Yrs,R58.00,"Haemorrhage, not elsewhere classified",,,TRUE
MEDI28A,Malaria >=12 Yrs,B54.00,Unspecified malaria,,,TRUE
MEDI29A,Black Water Fever >=12 Yrs,,,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A20.3,Plague meningitis,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A35.00,Other tetanus,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A41.9,"Sepsis, unspecified",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A86.00,Unspecified viral encephalitis,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A90.00,Dengue fever [classical dengue],,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A91.00,Dengue haemorrhagic fever,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A92.0,Chikungunya virus disease,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A92.8,Other specified mosquito-borne viral fevers,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A92.9,"Mosquito-borne viral fever, unspecified",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,A99.00,Unspecified viral haemorrhagic fever,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,B94.1,Sequelae of viral encephalitis,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,G03.9,"Meningitis, unspecified",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,G05.00,"Encephalitis, Myelitis And Encephalomyelitis In Diseases Classified Elsewhere",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,I33.0,Acute and subacute infective endocarditis,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,J47.00,Bronchiectasis,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,J99.00,Respiratory Disorders In Diseases Classified Elsewhere,,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,M00.9,"Pyogenic arthritis, unspecified",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,N12.00,"Tubulo-interstitial nephritis, not specified as acute or chronic",,,TRUE
MEDI30A,Systemic Infections >=12 Yrs,R21.00,Rash and other nonspecific skin eruption,,,TRUE
MEDI31A,Localised Infections >=12 Yrs,A53.9,"Syphilis, unspecified",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,B02.9,Zoster without complication,,,TRUE
MEDI31A,Localised Infections >=12 Yrs,J02.9,"Acute pharyngitis, unspecified",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,J18.9,"Pneumonia, unspecified",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,J32.9,"Chronic sinusitis, unspecified",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,J40.00,"Bronchitis, not specified as acute or chronic",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,J98.8,Other specified respiratory disorders,,,TRUE
MEDI31A,Localised Infections >=12 Yrs,L23.9,"Allergic contact dermatitis, unspecified cause",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,N39.0,"Urinary tract infection, site not specified",,,TRUE
MEDI31A,Localised Infections >=12 Yrs,P38.00,Omphalitis of newborn with or without mild haemorrhage,,,TRUE
MEDI32A,Hypertension >=12 Yrs,I10.00,Essential (primary) hypertension,,,TRUE
MEDI33A,Ischaemic Heart Disease >=12 Yrs,I20.0,Unstable angina,,,TRUE
MEDI34A,Pulmonary Embolism >=12 Yrs,,,,,TRUE
MEDI35A,Ulcer of Skin >=12 Yrs,,,,,TRUE
MEDI36A,Alcoholism >=12 Yrs,,,,,TRUE
MEDI37A,Animal Bites >=12 Yrs,W50.00,"Hit, struck, kicked, twisted, bitten or scratched by another person",,,TRUE
MEDI37A,Animal Bites >=12 Yrs,W53.00,Bitten by rat,,,TRUE
MEDI37A,Animal Bites >=12 Yrs,W54.00,Bitten or struck by dog,,,TRUE
MEDI37A,Animal Bites >=12 Yrs,W55.00,Bitten or struck by other mammals,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.0,HIV disease resulting in mycobacterial infection,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.1,HIV disease resulting in other bacterial infections,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.2,HIV disease resulting in cytomegaloviral disease,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.3,HIV disease resulting in other viral infections,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.4,HIV disease resulting in candidiasis,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.5,HIV disease resulting in other mycoses,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.7,HIV disease resulting in multiple infections,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.8,HIV disease resulting in other infectious and parasitic diseases,,,TRUE
MEDI38A,Retroviral Infection/Immuno Suppression >=12 Yrs,B20.9,HIV disease resulting in unspecified infectious or parasitic disease,,,TRUE
MEDI39A,Chemotheraphy,D06.9,"Carcinoma in situ: Cervix, unspecified",,,TRUE
MEDI40A,Radiotheraphy,D05.01,Lobular carcinoma in situ of right breast,,,TRUE
MEDI40A,Radiotheraphy,D05.10,Intraductal carcinoma in situ of unspecified breast,,,TRUE
MEDI40A,Radiotheraphy,D05.11,Intraductal carcinoma in situ of right breast,,,TRUE
MEDI40A,Radiotheraphy,D05.12,Intraductal carcinoma in situ of left breast,,,TRUE
MEDI40A,Radiotheraphy,D05.7,Other carcinoma in situ of breast,,,TRUE
MEDI40A,Radiotheraphy,D05.80,Other specified type of carcinoma in situ of unspecified breast,,,TRUE
MEDI40A,Radiotheraphy,D05.81,Other specified type of carcinoma in situ of right breast,,,TRUE
MEDI40A,Radiotheraphy,D05.82,Other specified type of carcinoma in situ of left breast,,,TRUE
MEDI40A,Radiotheraphy,D05.90,Unspecified type of carcinoma in situ of unspecified breast,,,TRUE
MEDI40A,Radiotheraphy,D05.91,Unspecified type of carcinoma in situ of right breast,,,TRUE
MEDI40A,Radiotheraphy,D05.92,Unspecified type of carcinoma in situ of left breast,,,TRUE
MEDI40A,Radiotheraphy,D06.9,"Carcinoma in situ: Cervix, unspecified",,,TRUE
MEDI41A,Cerebral Malaria,B50.0,Plasmodium falciparum malaria with cerebral complications,,,TRUE
MEDI42A,Dialysis for Chronic Renal Failure >=12Yrs,,,,,TRUE
OBGY01A,Gynaecological Laparotomy,D26.9,"Other benign neoplasm: Uterus, unspecified",,,TRUE
OBGY01A,Gynaecological Laparotomy,D27.00,Benign neoplasm of ovary,,,TRUE
OBGY01A,Gynaecological Laparotomy,N73.9,"Female pelvic inflammatory disease, unspecified",,,TRUE
OBGY01A,Gynaecological Laparotomy,N80.9,"Endometriosis, unspecified",,,TRUE
OBGY01A,Gynaecological Laparotomy,N85.8,Other specified noninflammatory disorders of uterus,,,TRUE
OBGY01A,Gynaecological Laparotomy,O08.9,"Complication following abortion and ectopic and molar pregnancy, unspecified",,,TRUE
OBGY01A,Gynaecological Laparotomy,O71.9,"Obstetric trauma, unspecified",,,TRUE
OBGY01A,Gynaecological Laparotomy,O72.1,Other immediate postpartum haemorrhage,,,TRUE
OBGY01A,Gynaecological Laparotomy,O85.00,Puerperal sepsis,,,TRUE
OBGY01A,Gynaecological Laparotomy,O90.9,"Complication of the puerperium, unspecified",,,TRUE
OBGY02A,Diagnostic Laparascopy,N73.9,"Female pelvic inflammatory disease, unspecified",,,TRUE
OBGY02A,Diagnostic Laparascopy,N80.9,"Endometriosis, unspecified",,,TRUE
OBGY02A,Diagnostic Laparascopy,N85.8,Other specified noninflammatory disorders of uterus,,,TRUE
OBGY02A,Diagnostic Laparascopy,O72.1,Other immediate postpartum haemorrhage,,,TRUE
OBGY03A,Operative Laparascopy,D25.9,"Leiomyoma of uterus, unspecified",,,TRUE
OBGY03A,Operative Laparascopy,D26.9,"Other benign neoplasm: Uterus, unspecified",,,TRUE
OBGY03A,Operative Laparascopy,D27.00,Benign neoplasm of ovary,,,TRUE
OBGY03A,Operative Laparascopy,N80.9,"Endometriosis, unspecified",,,TRUE
OBGY03A,Operative Laparascopy,O08.9,"Complication following abortion and ectopic and molar pregnancy, unspecified",,,TRUE
OBGY04A,Culdocentesis/Culdotomy,N73.9,"Female pelvic inflammatory disease, unspecified",,,TRUE
OBGY05A,Cauterization,C52.00,Malignant neoplasm of vagina,,,TRUE
OBGY05A,Cauterization,C53.9,"Malignant neoplasm: Cervix uteri, unspecified",,,TRUE
OBGY05A,Cauterization,C57.9,"Malignant neoplasm: Female genital organ, unspecified",,,TRUE
OBGY05A,Cauterization,D26.0,Other benign neoplasm: Cervix uteri,,,TRUE
OBGY05A,Cauterization,N72.00,Inflammatory disease of cervix uteri,,,TRUE
OBGY05A,Cauterization,N80.9,"Endometriosis, unspecified",,,TRUE
OBGY06A,MVA/EOU,O02.1,Missed abortion,,,TRUE
OBGY06A,MVA/EOU,O02.89,Other abnormal products of conception,,,TRUE
OBGY06A,MVA/EOU,O02.9,"Abnormal product of conception, unspecified",,,TRUE
OBGY06A,MVA/EOU,O03.0,"Spontaneous abortion: Incomplete, complicated by genital tract and pelvic infection",,,TRUE
OBGY06A,MVA/EOU,O03.1,"Spontaneous abortion: Incomplete, complicated by delayed or excessive haemorrhage",,,TRUE
OBGY06A,MVA/EOU,O03.2,"Spontaneous abortion: Incomplete, complicated by embolism",,,TRUE
OBGY06A,MVA/EOU,O03.32,Renal failure following incomplete spontaneous abortion,,,TRUE
OBGY06A,MVA/EOU,O03.37,Sepsis following incomplete spontaneous abortion,,,TRUE
OBGY06A,MVA/EOU,O03.39,Incomplete spontaneous abortion with other complications,,,TRUE
OBGY06A,MVA/EOU,O03.4,"Spontaneous abortion: Incomplete, without complication",,,TRUE
OBGY06A,MVA/EOU,O04.0,"Medical abortion: Incomplete, complicated by genital tract and pelvic infection",,,TRUE
OBGY07A,Suction Curettage,O02.0,Blighted ovum and nonhydatidiform mole,,,TRUE
OBGY08A,Manual Removal of Placenta,O72.1,Other immediate postpartum haemorrhage,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,D26.9,"Other benign neoplasm: Uterus, unspecified",,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,N72.00,Inflammatory disease of cervix uteri,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,N73.9,"Female pelvic inflammatory disease, unspecified",,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,N95.1,Menopausal and female climacteric states,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O13.00,Gestational [pregnancy-induced] hypertension without significant proteinuria,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O20.0,Threatened abortion,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O25.00,Malnutrition in pregnancy,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O74.9,"Complication of anaesthesia during labour and delivery, unspecified",,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O85.00,Puerperal sepsis,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O86.11,Cervicitis following delivery,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,O86.89,Other specified puerperal infections,,,TRUE
OBGY09A,Expectant management/Medical Treatment in Obstetrics and Gynaecology,R10.2,Pelvic and perineal pain,,,TRUE
OBGY10A,Marsupialization of Batholin's gland,N75.9,"Disease of Bartholin gland, unspecified",,,TRUE
OBGY10A,Marsupialization of Batholin's gland,O72.1,Other immediate postpartum haemorrhage,,,TRUE
